n,p,total_logical_error_rate,x_logical_error_rate,z_logical_error_rate
20,0.004281332398719396,0.0083,0.0044,0.0081
20,0.00545559478116852,0.0053,0.0026,0.0053
20,0.0069519279617756054,0.0007,0.0003,0.0007
20,0.008858667904100823,0.0205,0.0101,0.02
20,0.011288378916846888,0.0272,0.0141,0.026
20,0.01438449888287663,0.0276,0.0141,0.0256
20,0.018329807108324356,0.0417,0.0207,0.0399
20,0.023357214690901212,0.0507,0.0239,0.0471
20,0.029763514416313176,0.0682,0.0334,0.0646
20,0.0379269019073225,0.0938,0.0429,0.0847
20,0.04832930238571752,0.0625,0.0194,0.0589
20,0.06158482110660261,0.2015,0.1075,0.1735
20,0.07847599703514611,0.1805,0.0788,0.1583
20,0.1,0.1998,0.063,0.1788
22,0.001,0.0,0.0,0.0
22,0.0012742749857031334,0.0001,0.0,0.0001
22,0.0016237767391887208,0.0001,0.0,0.0001
22,0.00206913808111479,0.0004,0.0002,0.0004
22,0.0026366508987303583,0.0002,0.0001,0.0002
22,0.003359818286283781,0.0007,0.0004,0.0007
22,0.004281332398719396,0.0008,0.0002,0.0008
22,0.00545559478116852,0.0011,0.0002,0.0011
22,0.0069519279617756054,0.0018,0.0002,0.0018
22,0.008858667904100823,0.0026,0.0005,0.0026
22,0.011288378916846888,0.0037,0.0012,0.0035
22,0.01438449888287663,0.0068,0.0014,0.0068
22,0.018329807108324356,0.0128,0.0023,0.0126
22,0.023357214690901212,0.0176,0.0048,0.0174
22,0.029763514416313176,0.0463,0.0175,0.0437
22,0.0379269019073225,0.0495,0.0122,0.047
22,0.04832930238571752,0.086,0.0307,0.0793
22,0.06158482110660261,0.1174,0.0411,0.1056
22,0.07847599703514611,0.1419,0.0379,0.1308
22,0.1,0.1812,0.0474,0.1648
24,0.001,0.0,0.0,0.0
24,0.0012742749857031334,0.0,0.0,0.0
24,0.0016237767391887208,0.0,0.0,0.0
24,0.00206913808111479,0.0001,0.0,0.0001
24,0.0026366508987303583,0.0003,0.0,0.0003
24,0.003359818286283781,0.0005,0.0,0.0005
24,0.004281332398719396,0.0005,0.0002,0.0005
24,0.00545559478116852,0.0008,0.0,0.0008
24,0.0069519279617756054,0.0017,0.0004,0.0017
24,0.008858667904100823,0.0026,0.0006,0.0026
24,0.011288378916846888,0.0025,0.0005,0.0024
24,0.01438449888287663,0.0174,0.0077,0.0165
24,0.018329807108324356,0.0231,0.0096,0.0214
24,0.023357214690901212,0.0274,0.0113,0.0251
24,0.029763514416313176,0.0619,0.03,0.0556
24,0.0379269019073225,0.0554,0.0218,0.0516
24,0.04832930238571752,0.0594,0.0143,0.0563
24,0.06158482110660261,0.0936,0.0254,0.0862
24,0.07847599703514611,0.1378,0.037,0.1247
24,0.1,0.1794,0.0463,0.1624
26,0.001,0.0,0.0,0.0
26,0.0012742749857031334,0.0001,0.0,0.0001
26,0.0016237767391887208,0.0001,0.0001,0.0001
26,0.00206913808111479,0.0001,0.0,0.0001
26,0.0026366508987303583,0.0004,0.0001,0.0004
26,0.003359818286283781,0.0025,0.0014,0.0023
26,0.004281332398719396,0.0006,0.0002,0.0006
26,0.00545559478116852,0.0071,0.0039,0.0068
26,0.0069519279617756054,0.0023,0.0007,0.0022
26,0.008858667904100823,0.0027,0.0005,0.0026
26,0.011288378916846888,0.0056,0.0023,0.0056
26,0.01438449888287663,0.0168,0.008,0.0159
26,0.018329807108324356,0.0295,0.011,0.028
26,0.023357214690901212,0.0374,0.0146,0.035
26,0.029763514416313176,0.0696,0.0297,0.0649
26,0.0379269019073225,0.0872,0.0407,0.0779
26,0.04832930238571752,0.0949,0.0332,0.0866
26,0.06158482110660261,0.1274,0.0468,0.1131
26,0.07847599703514611,0.157,0.0464,0.1401
26,0.1,0.2138,0.0584,0.1921
28,0.001,0.0,0.0,0.0
28,0.0012742749857031334,0.0001,0.0,0.0001
28,0.0016237767391887208,0.0015,0.0008,0.0015
28,0.00206913808111479,0.0001,0.0001,0.0001
28,0.0026366508987303583,0.0,0.0,0.0
28,0.003359818286283781,0.0001,0.0,0.0001
28,0.004281332398719396,0.0005,0.0001,0.0005
28,0.00545559478116852,0.0007,0.0003,0.0007
28,0.0069519279617756054,0.0011,0.0001,0.0011
28,0.008858667904100823,0.0023,0.0004,0.0023
28,0.011288378916846888,0.0045,0.0015,0.0045
28,0.01438449888287663,0.0073,0.0025,0.0072
28,0.018329807108324356,0.0109,0.002,0.0107
28,0.023357214690901212,0.0192,0.004,0.018
28,0.029763514416313176,0.0285,0.0062,0.0273
28,0.0379269019073225,0.0419,0.0119,0.0393
28,0.04832930238571752,0.0748,0.0189,0.0697
28,0.06158482110660261,0.1131,0.0316,0.1036
28,0.07847599703514611,0.1662,0.055,0.1479
28,0.1,0.2155,0.0626,0.1921
30,0.001,0.0,0.0,0.0
30,0.0012742749857031334,0.0,0.0,0.0
30,0.0016237767391887208,0.0,0.0,0.0
30,0.00206913808111479,0.0001,0.0,0.0001
30,0.0026366508987303583,0.0003,0.0,0.0003
30,0.003359818286283781,0.0005,0.0003,0.0005
30,0.004281332398719396,0.0016,0.0004,0.0016
30,0.00545559478116852,0.002,0.0008,0.002
30,0.0069519279617756054,0.0014,0.0006,0.0014
30,0.008858667904100823,0.0029,0.0007,0.0029
