n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
17,0.0615848211066026,100000,0.04556,0.0012842554940766,0.0013106956634153,0.04331,0.0012533563883853,0.001279930769769,0.00822,0.0005503174652143,0.0005791201562718,2.115838733219902,0.0009013444900512
17,0.0784759970351461,100000,0.07814,0.0016562268587869,0.0016807436039659,0.07371,0.0016121340883366,0.0016369109499507,0.01578,0.0007633412422438,0.000791610398334,3.783279629555252,0.0013114945030212
17,0.1,100000,0.12845,0.0020679767429492,0.0020895527561171,0.11971,0.0020059422986071,0.0020280280032625,0.02853,0.0010231510838303,0.0010506173091694,6.227562944585452,0.001848739285469
23,0.001,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,8.355982572538778e-17,0.0001802821469306
23,0.0012742749857031,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0001379310344828,0.0001786822485923
23,0.0016237767391887,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0001818181818183,0.0001799534201622
23,0.0020691380811147,100000,2e-05,1.7577898037296847e-05,5.224498936504791e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,0.0,0.0,3.6888114157924206e-05,0.0024362449799198,0.000176073474884
23,0.0026366508987303,100000,1e-05,9.746821952206667e-06,4.571516034774275e-05,1e-05,9.746821952206667e-06,4.571516034774275e-05,0.0,0.0,3.6888114157924206e-05,0.0062641405342627,0.000185678949356
23,0.0033598182862837,100000,2e-05,1.7577898037296847e-05,5.224498936504791e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,0.0,0.0,3.6888114157924206e-05,0.004632728545964,0.0001933842349052
23,0.0042813323987193,100000,9e-05,4.8845469662682224e-05,8.08411281938357e-05,9e-05,4.8845469662682224e-05,8.08411281938357e-05,0.0,0.0,3.6888114157924206e-05,0.0143220437545843,0.0001940249109268
23,0.0054555947811685,100000,0.00017,7.096571620311439e-05,0.0001021725611933,0.00016,6.854349816367227e-05,9.981700651290756e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,0.0354562693851329,0.0001945566892623
23,0.0069519279617756,100000,0.00025,8.820685401380804e-05,0.0001190273490163,0.00023,8.419432000115676e-05,0.0001150930651544,4e-05,2.9101242172541414e-05,6.241269060279137e-05,0.052528299564717,0.0002150371432304
